0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:20:53 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/css/basic_classes.xcss/DATB/eAF7sqpgb-jyGdIAFrMEaw__.jsf HTTP/1.1" 200 7022
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:20:53 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/css/extended_classes.xcss/DATB/eAF7sqpgb-jyGdIAFrMEaw__.jsf HTTP/1.1" 200 4200
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:20:59 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:22:52 -0300] "GET /alarmeAndroid2/Teste2.jsf HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:22:52 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/css/basic_classes.xcss/DATB/eAF7sqpgb-jyGdIAFrMEaw__.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:22:52 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/css/extended_classes.xcss/DATB/eAF7sqpgb-jyGdIAFrMEaw__.jsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:22:52 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/utils.js.jsf HTTP/1.1" 200 8553
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:22:52 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/json/json-dom.js.jsf HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:22:52 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg/richfaces/renderkit/html/scripts/events.js.jsf HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [20/Jul/2011:17:22:52 -0300] "GET /alarmeAndroid2/a4j_3_2_1-SNAPSHOTorg.ajax4jsf.javascript.AjaxScript.jsf HTTP/1.1" 200 52647
